<<<<<<< HEAD
Sentiment,Domain
positive,class-cloudsolution
neutral,class-ERP
neutral,class-cloudsolution
positive,class-Dataanalytics
negative,class-Businessintelligence
neutral,class-ERP
positive,class-cloudsolution
negative,class-Dataanalytics
neutral,class-Businessintelligence
positive,class-ERP
negative,class-cloudsolution
neutral,class-Dataanalytics
positive,class-Businessintelligence
negative,class-ERP
neutral,class-cloudsolution
positive,class-Dataanalytics
negative,class-Businessintelligence
neutral,class-cloudsolution
positive,class-ERP
neutral,class-Dataanalytics
negative,class-cloudsolution
positive,class-Businessintelligence
neutral,class-ERP
negative,class-Dataanalytics
positive,class-cloudsolution
neutral,class-Businessintelligence
negative,class-ERP
positive,class-Dataanalytics
neutral,class-cloudsolution
negative,class-Businessintelligence
neutral,None of the above
neutral,None
neutral,None
neutral,None of the above
neutral,class-cloudsolution
neutral,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
=======
Sentiment,Domain
positive,class-cloudsolution
neutral,class-ERP
neutral,class-cloudsolution
positive,class-Dataanalytics
negative,class-Businessintelligence
neutral,class-ERP
positive,class-cloudsolution
negative,class-Dataanalytics
neutral,class-Businessintelligence
positive,class-ERP
negative,class-cloudsolution
neutral,class-Dataanalytics
positive,class-Businessintelligence
negative,class-ERP
neutral,class-cloudsolution
positive,class-Dataanalytics
negative,class-Businessintelligence
neutral,class-cloudsolution
positive,class-ERP
neutral,class-Dataanalytics
negative,class-cloudsolution
positive,class-Businessintelligence
neutral,class-ERP
negative,class-Dataanalytics
positive,class-cloudsolution
neutral,class-Businessintelligence
negative,class-ERP
positive,class-Dataanalytics
neutral,class-cloudsolution
negative,class-Businessintelligence
neutral,None of the above
neutral,None
neutral,None
neutral,None of the above
neutral,class-cloudsolution
neutral,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
positive,class-cloudsolution
>>>>>>> origin/main
